"station.name","latitude","longitude"
"South St & Gouverneur Ln",40.70355377,-74.00670227
"W 13 St & Hudson St",40.7399735410341,-74.0051387250423
"Centre St & Worth St",40.71494807,-74.00234482
"W 25 St & 6 Ave",40.74395411,-73.99144871
"St Marks Pl & 1 Ave",40.72779126,-73.98564945
"W 22 St & 8 Ave",40.74475148,-73.99915362
"Berry St & N 8 St",40.7190095,-73.95852515
"Frederick Douglass Blvd & W 117 St",40.805159,-73.954692
"Sullivan St & Washington Sq",40.73047747,-73.99906065
"Fulton St & Broadway",40.711066,-74.009447
"E 25 St & 2 Ave",40.73912601,-73.97973776
"E 12 St & 3 Ave",40.73223272,-73.98889957
"Wyckoff St & 3 Ave",40.6827549,-73.98258555
"Hudson St & Reade St",40.71625008,-74.0091059
"St James Pl & Oliver St",40.71307916,-73.99851193
"Central Park West & W 85 St",40.78472675,-73.96961715
"S 4 St & Wythe Ave",40.71285887,-73.96590294
"8 Ave & W 33 St",40.751551,-73.993934
"FDR Drive & E 35 St",40.744219,-73.97121214
"S Portland Ave & Hanson Pl",40.68539567,-73.97431458
"5 Ave & E 73 St",40.77282817,-73.96685276
"Myrtle Ave & Marcy Ave",40.69539817,-73.94954908
"5 Ave & E 78 St",40.7763214218227,-73.9642739295959
"W 20 St & 8 Ave",40.74345335,-74.00004031
"Park Pl & Vanderbilt Ave",40.6767,-73.969024
"E 84 St & 1 Ave",40.77565541,-73.95068615
"E 91 St & Park Ave",40.7835016,-73.955327
"31 Ave & 34 St",40.763154,-73.920827
"5 Ave & E 88 St",40.78307,-73.95939
"1 Ave & E 18 St",40.7338121919663,-73.9805442094803
"Pike St & Monroe St",40.71173107,-73.99193043
"Clinton St & Tillary St",40.696192,-73.991218
"Plaza St West & Flatbush Ave",40.6750207,-73.97111473
"8 Ave & W 52 St",40.76370739,-73.9851615
"University Pl & E 14 St",40.73492695,-73.99200509
"E 5 St & Avenue C",40.72299208,-73.97995466
"Pershing Square North",40.751873,-73.977706
"Berkeley Pl & 6 Ave",40.6765304,-73.97846879
"E 71 St & 1 Ave",40.7670343230987,-73.9562273025513
"Broadway & W 32 St",40.74854862,-73.98808416
"Central Park West & W 68 St",40.7734066,-73.97782542
"W 95 St & Broadway",40.7937704,-73.971888
"W 90 St & Amsterdam Ave",40.7901794809508,-73.9728891849518
"Broadway & E 14 St",40.73454567,-73.99074142
"Bank St & Washington St",40.7361967,-74.00859207
"Christopher St & Greenwich St",40.73291553,-74.00711384
